# levels in mm (evenly spaced by 2 mm except for 1-6): [
#    1, 2, 3, 4, 5, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32,
#    34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66,
#    68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90,
#]
#
# red green blue
186 184 184
181 171 165
175 158 146
170 146 127
164 133 108
159 120 88
154 108 69
148 95 50
156 92 39
170 103 46
184 113 54
197 124 62
210 134 69
224 144 77
238 155 84
251 165 92
253 181 103
253 195 114
254 210 128
254 224 139
254 233 153
254 242 170
255 251 184
252 254 186
245 251 175
237 248 163
230 245 152
214 238 155
195 231 159
179 224 162
161 217 164
140 209 164
121 201 165
102 194 165
86 176 173
71 160 179
57 144 186
58 126 184
70 110 177
82 95 169
94 79 162
112 96 171
129 113 180
147 130 189
164 146 198
182 163 207
200 180 216
217 197 225
235 214 234
